scenario_id,model,relevance,quality,personalization,average_score
1,llama-3.1-8b-instant,0.9,0.7,0.6,0.733
2,llama-3.1-8b-instant,0.85,0.75,0.65,0.75
3,llama-3.1-8b-instant,0.8,0.7,0.6,0.7
4,llama-3.1-8b-instant,0.9,0.75,0.65,0.767
5,llama-3.1-8b-instant,0.85,0.7,0.6,0.717
6,llama-3.1-8b-instant,0.8,0.7,0.6,0.7
7,llama-3.1-8b-instant,0.75,0.65,0.55,0.65
8,llama-3.1-8b-instant,0.85,0.75,0.65,0.75
9,llama-3.1-8b-instant,0.8,0.7,0.6,0.7
10,llama-3.1-8b-instant,0.9,0.75,0.65,0.767
AVERAGE,llama-3.1-8b-instant,0.84,0.72,0.62,0.73
