scenario_id,model,relevance,quality,personalization,average_score
1,openai/gpt-oss-120b,1.0,0.95,0.9,0.95
2,openai/gpt-oss-120b,0.95,0.95,0.9,0.933
3,openai/gpt-oss-120b,0.95,0.9,0.9,0.917
4,openai/gpt-oss-120b,1.0,0.95,0.95,0.967
5,openai/gpt-oss-120b,0.95,0.9,0.9,0.917
6,openai/gpt-oss-120b,0.95,0.95,0.9,0.933
7,openai/gpt-oss-120b,0.9,0.9,0.85,0.883
8,openai/gpt-oss-120b,0.95,0.95,0.9,0.933
9,openai/gpt-oss-120b,0.95,0.9,0.9,0.917
10,openai/gpt-oss-120b,1.0,0.95,0.95,0.967
AVERAGE,openai/gpt-oss-120b,0.96,0.93,0.91,0.93
